Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Master Degree,NonSaudi,Female,2020 Q2,11021,SAR
Master Degree,NonSaudi,Male,2020 Q2,12783,SAR
Master Degree,Saudi,Female,2020 Q2,11464,SAR
Master Degree,Saudi,Male,2020 Q2,17276,SAR
Master Degree,NonSaudi,Female,2020 Q3,10397,SAR
Master Degree,NonSaudi,Male,2020 Q3,11872,SAR
Master Degree,Saudi,Female,2020 Q3,12377,SAR
Master Degree,Saudi,Male,2020 Q3,16503,SAR
Master Degree,NonSaudi,Female,2020 Q4,9475,SAR
Master Degree,NonSaudi,Male,2020 Q4,13815,SAR
Master Degree,Saudi,Female,2020 Q4,11681,SAR
Master Degree,Saudi,Male,2020 Q4,19444,SAR
Master Degree,NonSaudi,Female,2021 Q1,9362,SAR
Master Degree,NonSaudi,Male,2021 Q1,16467,SAR
Master Degree,Saudi,Female,2021 Q1,12480,SAR
Master Degree,Saudi,Male,2021 Q1,20431,SAR
Master Degree,NonSaudi,Female,2021 Q2,13397,SAR
Master Degree,NonSaudi,Male,2021 Q2,17202,SAR
Master Degree,Saudi,Female,2021 Q2,12398,SAR
Master Degree,Saudi,Male,2021 Q2,21754,SAR
