Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Secondary,NonSaudi,Male,2018 Q4,2933,SAR
Secondary,Saudi,Female,2018 Q4,5814,SAR
Secondary,Saudi,Male,2018 Q4,9102,SAR
Secondary,NonSaudi,Female,2019 Q1,2045,SAR
Secondary,NonSaudi,Male,2019 Q1,3029,SAR
Secondary,Saudi,Female,2019 Q1,5355,SAR
Secondary,Saudi,Male,2019 Q1,9082,SAR
Secondary,NonSaudi,Female,2019 Q2,2095,SAR
Secondary,NonSaudi,Male,2019 Q2,3053,SAR
Secondary,Saudi,Female,2019 Q2,5647,SAR
Secondary,Saudi,Male,2019 Q2,9109,SAR
Secondary,NonSaudi,Female,2019 Q3,2046,SAR
Secondary,NonSaudi,Male,2019 Q3,3114,SAR
Secondary,Saudi,Female,2019 Q3,5744,SAR
Secondary,Saudi,Male,2019 Q3,9023,SAR
Secondary,NonSaudi,Female,2019 Q4,2120,SAR
Secondary,NonSaudi,Male,2019 Q4,3045,SAR
Secondary,Saudi,Female,2019 Q4,5223,SAR
Secondary,Saudi,Male,2019 Q4,9044,SAR
Secondary,NonSaudi,Female,2020 Q1,2164,SAR
Secondary,NonSaudi,Male,2020 Q1,3072,SAR
Secondary,Saudi,Female,2020 Q1,5886,SAR
Secondary,Saudi,Male,2020 Q1,8940,SAR
Secondary,NonSaudi,Female,2020 Q2,2048,SAR
Secondary,NonSaudi,Male,2020 Q2,2815,SAR
Secondary,Saudi,Female,2020 Q2,5310,SAR
Secondary,Saudi,Male,2020 Q2,8619,SAR
Secondary,NonSaudi,Female,2020 Q3,1918,SAR
Secondary,NonSaudi,Male,2020 Q3,2963,SAR
Secondary,Saudi,Female,2020 Q3,5313,SAR
Secondary,Saudi,Male,2020 Q3,8642,SAR
Secondary,NonSaudi,Female,2020 Q4,1646,SAR
Secondary,NonSaudi,Male,2020 Q4,2864,SAR
Secondary,Saudi,Female,2020 Q4,5066,SAR
Secondary,Saudi,Male,2020 Q4,8640,SAR
Secondary,NonSaudi,Female,2021 Q1,1591,SAR
Secondary,NonSaudi,Male,2021 Q1,2779,SAR
Secondary,Saudi,Female,2021 Q1,4437,SAR
Secondary,Saudi,Male,2021 Q1,8743,SAR
Secondary,NonSaudi,Female,2021 Q2,1658,SAR
Secondary,NonSaudi,Male,2021 Q2,2753,SAR
Secondary,Saudi,Female,2021 Q2,4655,SAR
Secondary,Saudi,Male,2021 Q2,8580,SAR
Intermediate,NonSaudi,Female,2017 Q1,1649,SAR
Intermediate,NonSaudi,Male,2017 Q1,2304,SAR
Intermediate,Saudi,Female,2017 Q1,4310,SAR
Intermediate,Saudi,Male,2017 Q1,7477,SAR
Intermediate,NonSaudi,Female,2017 Q2,1651,SAR
Intermediate,NonSaudi,Male,2017 Q2,2322,SAR
Intermediate,Saudi,Female,2017 Q2,4235,SAR
Intermediate,Saudi,Male,2017 Q2,7649,SAR
Intermediate,NonSaudi,Female,2017 Q3,1654,SAR
Intermediate,NonSaudi,Male,2017 Q3,2372,SAR
Intermediate,Saudi,Female,2017 Q3,4067,SAR
Intermediate,Saudi,Male,2017 Q3,7377,SAR
Intermediate,NonSaudi,Female,2017 Q4,1664,SAR
Intermediate,NonSaudi,Male,2017 Q4,2285,SAR
Intermediate,Saudi,Female,2017 Q4,4590,SAR
Intermediate,Saudi,Male,2017 Q4,7342,SAR
Intermediate,NonSaudi,Female,2018 Q1,1666,SAR
Intermediate,NonSaudi,Male,2018 Q1,2322,SAR
Intermediate,Saudi,Female,2018 Q1,4247,SAR
Intermediate,Saudi,Male,2018 Q1,7643,SAR
